ID;Datum;RH[%RV];TEMP[°C];
1;07/07/2022 09:12:52;67,7;20,5;
2;07/07/2022 09:15:52;65,7;20,7;
3;07/07/2022 09:18:52;64,9;20,7;
4;07/07/2022 09:21:52;64,6;20,7;
5;07/07/2022 09:24:52;64,5;20,7;
6;07/07/2022 09:27:52;64,5;20,7;
7;07/07/2022 09:30:52;64,3;20,7;
8;07/07/2022 09:33:52;64,6;20,7;
9;07/07/2022 09:36:52;64;20,7;
10;07/07/2022 09:39:52;64;20,7;
11;07/07/2022 09:42:52;64,1;20,7;
12;07/07/2022 09:45:52;63,7;20,7;
13;07/07/2022 09:48:52;63,4;20,7;
14;07/07/2022 09:51:52;63,4;20,7;
15;07/07/2022 09:54:52;63,2;20,7;
16;07/07/2022 09:57:52;63,2;20,8;
17;07/07/2022 10:00:52;63,4;20,8;
18;07/07/2022 10:03:52;63,3;20,8;
19;07/07/2022 10:06:52;63;20,8;
20;07/07/2022 10:09:52;62,9;20,8;
21;07/07/2022 10:12:52;62,7;20,8;
22;07/07/2022 10:15:52;62,5;20,8;
23;07/07/2022 10:18:52;62,3;20,8;
24;07/07/2022 10:21:52;62,3;20,8;
25;07/07/2022 10:24:52;62,2;20,8;
26;07/07/2022 10:27:52;62;20,8;
27;07/07/2022 10:30:52;61,9;20,9;
28;07/07/2022 10:33:52;61,9;20,9;
29;07/07/2022 10:36:52;61,8;20,9;
30;07/07/2022 10:39:52;61,7;20,9;
31;07/07/2022 10:42:52;61,8;20,9;
32;07/07/2022 10:45:52;61,7;20,9;
33;07/07/2022 10:48:52;61,9;20,9;
34;07/07/2022 10:51:52;62;20,9;
35;07/07/2022 10:54:52;62,2;20,9;
36;07/07/2022 10:57:52;62,3;21;
37;07/07/2022 11:00:52;62,7;21;
38;07/07/2022 11:03:52;62,4;21;
39;07/07/2022 11:06:52;62,2;21;
40;07/07/2022 11:09:52;62,1;21;
41;07/07/2022 11:12:52;61,9;21;
42;07/07/2022 11:15:52;61,6;21;
43;07/07/2022 11:18:52;61,3;21;
44;07/07/2022 11:21:52;61;21;
45;07/07/2022 11:24:52;60,6;21,1;
46;07/07/2022 11:27:52;60,6;21,1;
47;07/07/2022 11:30:52;60,7;21,1;
48;07/07/2022 11:33:52;60,9;21,1;
49;07/07/2022 11:36:52;60,9;21,1;
50;07/07/2022 11:39:52;60,7;21,1;
51;07/07/2022 11:42:52;60,6;21,1;
52;07/07/2022 11:45:52;60,5;21,1;
53;07/07/2022 11:48:52;60,5;21,1;
54;07/07/2022 11:51:52;60,4;21,1;
55;07/07/2022 11:54:52;60,4;21,1;
56;07/07/2022 11:57:52;60,8;21,1;
57;07/07/2022 12:00:52;61,6;21,2;
58;07/07/2022 12:03:52;61,9;21,2;
59;07/07/2022 12:06:52;62,3;21,2;
60;07/07/2022 12:09:52;62,2;21,2;
61;07/07/2022 12:12:52;61,9;21,2;
62;07/07/2022 12:15:52;61,7;21,2;
63;07/07/2022 12:18:52;61,3;21,2;
64;07/07/2022 12:21:52;61,2;21,2;
65;07/07/2022 12:24:52;61,2;21,2;
66;07/07/2022 12:27:52;61,2;21,2;
67;07/07/2022 12:30:52;61,5;21,2;
68;07/07/2022 12:33:52;61,5;21,3;
69;07/07/2022 12:36:52;61,5;21,3;
70;07/07/2022 12:39:52;61,3;21,3;
71;07/07/2022 12:42:52;60,9;21,3;
72;07/07/2022 12:45:52;60,8;21,3;
73;07/07/2022 12:48:52;60,9;21,3;
74;07/07/2022 12:51:52;60,9;21,3;
75;07/07/2022 12:54:52;61;21,3;
76;07/07/2022 12:57:52;61;21,3;
77;07/07/2022 13:00:52;61,2;21,3;
78;07/07/2022 13:03:52;61,2;21,3;
79;07/07/2022 13:06:52;61,2;21,3;
80;07/07/2022 13:09:52;61,4;21,3;
