TS_UPDATE;USER;bake_id;processing_variable;variable_phase;variable_order;variable_value
2022-05-08 18:35:16;;1;BAKE_steam_cont;1;1;200
2022-05-08 18:35:16;;1;BAKE_steam_time;1;2;25
2022-05-08 18:35:16;;1;BAKE_temp_lower;1;4;230
2022-05-08 18:35:16;;1;BAKE_temp_upper;1;3;230
2022-05-08 18:35:16;;1;BAKE_time;1;5;35
2022-05-08 18:35:16;;1;COOL_temp;2;2;20
2022-05-08 18:35:16;;1;COOL_time;2;1;60
2023-01-03 11:02:25;;10;BAKE_level;7;3;1
2023-01-03 11:02:25;;10;BAKE_temperature_lower;7;2;202
2023-01-03 11:02:25;;10;BAKE_temperature_upper;7;1;183
2023-01-03 11:02:25;;11;BAKE_level;7;3;1
2023-01-03 11:02:25;;11;BAKE_temperature_lower;7;2;202
2023-01-03 11:02:25;;11;BAKE_temperature_upper;7;1;183
2023-01-03 11:02:25;;12;BAKE_level;7;3;1
2023-01-03 11:02:25;;12;BAKE_temperature_lower;7;2;202
2023-01-03 11:02:25;;12;BAKE_temperature_upper;7;1;183
2023-01-03 11:02:27;;13;BAKE_level;7;3;1
2023-01-03 11:02:27;;13;BAKE_temperature_lower;7;2;180
2023-01-03 11:02:28;;13;BAKE_temperature_upper;7;1;231
2023-01-03 11:02:28;;14;BAKE_level;7;3;1
2023-01-03 11:02:28;;14;BAKE_temperature_lower;7;2;180
2023-01-03 11:02:28;;14;BAKE_temperature_upper;7;1;231
2023-01-03 11:02:28;;15;BAKE_level;7;3;1
2023-01-03 11:02:28;;15;BAKE_temperature_lower;7;2;180
2023-01-03 11:02:28;;15;BAKE_temperature_upper;7;1;231
2023-01-03 11:02:28;;16;BAKE_level;7;3;1
2023-01-03 11:02:28;;16;BAKE_temperature_lower;7;2;180
2023-01-03 11:02:28;;16;BAKE_temperature_upper;7;1;231
2023-01-03 11:02:28;;17;BAKE_level;7;3;1
2023-01-03 11:02:28;;17;BAKE_temperature_lower;7;2;180
2023-01-03 11:02:28;;17;BAKE_temperature_upper;7;1;231
2023-01-03 11:02:28;;18;BAKE_level;7;3;1
2023-01-03 11:02:28;;18;BAKE_temperature_lower;7;2;180
2023-01-03 11:02:28;;18;BAKE_temperature_upper;7;1;231
2023-01-03 11:02:23;;19;BAKE_level;7;3;1
2023-01-03 11:02:23;;19;BAKE_temperature_lower;7;2;180
2023-01-03 11:02:23;;19;BAKE_temperature_upper;7;1;189
2022-05-08 18:35:16;;2;BAKE_steam_cont;1;1;200
2022-05-08 18:35:16;;2;BAKE_steam_time;1;2;25
2022-05-08 18:35:16;;2;BAKE_temp_lower;1;4;230
2022-05-08 18:35:16;;2;BAKE_temp_upper;1;3;230
2022-05-08 18:35:16;;2;BAKE_time;1;5;40
2022-05-08 18:35:16;;2;COOL_temp;2;2;20
2022-05-08 18:35:16;;2;COOL_time;2;1;60
2023-01-03 11:02:23;;20;BAKE_level;7;3;2
2023-01-03 11:02:23;;20;BAKE_temperature_lower;7;2;180
2023-01-03 11:02:23;;20;BAKE_temperature_upper;7;1;189
2023-01-03 11:02:23;;21;BAKE_level;7;3;1
2023-01-03 11:02:23;;21;BAKE_temperature_lower;7;2;180
2023-01-03 11:02:23;;21;BAKE_temperature_upper;7;1;189
