TS_UPDATE;USER;bt_id;dough_id;bake_id;bake_dstart;bake_tstart;bake_tstop;floor;baker;storage_id
2022-11-17 13:48:09;;BT100;DO129;70;2022-11-18 00:00:00;15:14:00;15:46:00;1;SAT;
2022-11-17 13:48:17;;BT101;DO130;71;2022-11-18 00:00:00;16:00:00;16:32:00;1;SAT;
2022-11-23 07:29:00;;BT104;DO133;74;2022-11-23 00:00:00;14:37:00;15:26:00;1;SAT;
2022-11-23 07:29:08;;BT105;DO134;75;2022-11-23 00:00:00;15:33:00;16:14:00;2;SAT;
2022-11-23 07:29:16;;BT106;DO135;76;2022-11-23 00:00:00;15:44:00;16:24:00;1;SAT;
2022-11-23 12:36:23;;BT107;DO137;77;2022-11-24 00:00:00;11:10:00;11:42:00;1;SAT;
2022-11-23 12:36:30;;BT108;DO138;78;2022-11-24 00:00:00;11:51:00;12:41:00;2;SAT;
2022-11-23 12:36:37;;BT109;DO139;79;2022-11-24 00:00:00;13:21:00;13:53:00;2;SAT;
2022-05-08 18:35:01;;BT19;DO47;80;2022-04-14 00:00:00;16:12:00;16:49:00;1;SAT;
2022-05-08 18:35:01;;BT20;DO48;81;2022-04-14 00:00:00;16:40:00;17:15:00;2;SAT;
2022-05-08 18:35:01;;BT21;DO49;82;2022-04-14 00:00:00;16:52:00;17:29:00;1;SAT;
2022-05-08 18:35:01;;BT22;DO50;83;2022-04-28 00:00:00;11:24:00;11:56:00;2;SAT;
2022-05-08 18:35:01;;BT23;DO51;84;2022-04-28 00:00:00;12:34:00;13:20:00;2;SAT;
2022-05-08 18:35:01;;BT24;DO52;85;2022-04-28 00:00:00;14:18:00;14:57:00;2;SAT;
2022-05-08 18:35:01;;BT25;DO53;86;2022-04-28 00:00:00;16:01:00;16:33:00;2;SAT;
2022-05-08 18:35:01;;BT26;DO54;87;2022-04-28 00:00:00;16:25:00;16:57:00;1;SAT;
2022-05-08 18:35:01;;BT27;DO55;88;2022-04-28 00:00:00;16:46:00;17:25:00;2;SAT;
2022-05-08 18:35:01;;BT28;DO56;89;2022-05-05 00:00:00;10:00:00;10:50:00;1;SAT;
2022-05-08 18:35:01;;BT29;DO57;90;2022-05-05 00:00:00;10:30:00;11:09:00;2;SAT;
2022-05-08 18:35:02;;BT30;DO58;91;2022-05-05 00:00:00;11:00:00;11:32:00;1;SAT;
2022-05-08 18:35:02;;BT31;DO59;92;2022-05-06 00:00:00;13:33:00;14:08:00;1;SAT;
2022-05-08 18:35:02;;BT32;DO60;93;2022-05-06 00:00:00;15:22:00;15:54:00;1;SAT;
2022-05-08 18:35:02;;BT33;DO61;94;2022-05-06 00:00:00;15:52:00;16:32:00;2;SAT;
2022-05-10 13:45:47;;BT34;DO62;4;;;;;;
2022-05-10 13:45:52;;BT35;DO63;5;;;;;;
2022-05-10 13:45:58;;BT36;DO64;6;;;;;;
2022-05-12 07:45:22;;BT37;DO65;7;2022-05-13 00:00:00;09:23:00;10:00:00;1;SAT;
2022-05-12 07:45:28;;BT38;DO66;8;2022-05-13 00:00:00;11:22:00;12:12:00;2;SAT;
2022-05-12 07:45:34;;BT39;DO67;9;2022-05-13 00:00:00;13:03:00;13:44:00;1;SAT;
2022-05-12 14:57:19;;BT40;DO68;10;2022-05-13 00:00:00;10:34:00;11:10:00;1;SAT;
2022-05-12 14:57:29;;BT41;DO69;11;2022-05-13 00:00:00;10:59:00;11:29:00;1;SAT;
2022-05-12 14:57:35;;BT42;DO70;12;2022-05-13 00:00:00;13:39:00;14:14:00;;SAT;
2022-05-17 12:08:50;;BT43;DO71;13;2022-05-18 00:00:00;11:47:00;12:16:00;1;SAT;
2022-05-17 12:08:55;;BT44;DO72;14;2022-05-18 00:00:00;12:41:00;13:19:00;1;SAT;
2022-05-17 12:09:01;;BT45;DO73;15;2022-05-18 00:00:00;14:15:00;14:47:00;1;SAT;
2022-05-17 12:13:08;;BT46;DO74;16;2022-05-20 00:00:00;13:15:00;14:05:00;1;SAT;
2022-05-17 12:13:13;;BT47;DO75;17;2022-05-20 00:00:00;15:34:00;16:13:00;1;SAT;
2022-05-17 12:13:18;;BT48;DO76;18;2022-05-20 00:00:00;18:46:00;19:36:00;1;SAT;
2022-05-20 15:17:37;;BT49;DO77;2;2022-05-25 00:00:00;;;1;SAT;
2022-05-20 15:17:37;;BT50;DO78;2;2022-05-25 00:00:00;;;1;SAT;
2022-05-20 15:17:37;;BT51;DO79;2;2022-05-25 00:00:00;;;1;SAT;
2022-05-20 15:17:37;;BT52;DO80;2;2022-05-25 00:00:00;;;1;SAT;
2022-05-31 14:11:58;;BT53;DO81;19;2022-06-02 00:00:00;15:47:00;16:19:00;1;SAT;
2022-05-31 14:12:03;;BT54;DO82;20;2022-06-02 00:00:00;16:27:00;17:09:00;2;SAT;
2022-05-31 14:12:08;;BT55;DO83;21;2022-06-02 00:00:00;16:50:00;17:31:00;1;SAT;
2022-06-01 13:18:19;;BT56;DO84;22;2022-06-03 00:00:00;10:45:00;11:21:00;1;SAT;
2022-06-01 13:18:25;;BT57;DO85;23;2022-06-03 00:00:00;11:20:00;12:10:00;1;SAT;
2022-06-01 13:18:30;;BT58;DO86;24;2022-06-03 00:00:00;15:15:00;15:58:00;1;SAT;
2022-06-14 09:11:46;;BT59;DO87;25;2022-06-16 00:00:00;10:59:00;11:49:00;1;SAT;
2022-06-14 09:11:52;;BT60;DO88;26;2022-06-16 00:00:00;12:32:00;13:22:00;;SAT;
2022-06-14 09:11:57;;BT61;DO89;27;2022-06-16 00:00:00;14:50:00;15:31:00;1;SAT;
2022-06-15 11:59:01;;BT62;DO90;28;2022-06-16 00:00:00;15:46:00;16:34:00;1;SAT;
2022-06-15 11:59:07;;BT63;DO91;29;2022-06-16 00:00:00;;;;SAT;
2022-06-15 11:59:13;;BT64;DO92;30;2022-06-16 00:00:00;17:09:00;17:53:00;1;SAT;
2022-06-21 13:21:17;;BT65;DO93;31;2022-06-23 00:00:00;12:42:00;13:17:00;1;SAT;
2022-06-21 13:21:24;;BT66;DO94;32;2022-06-23 00:00:00;13:16:00;13:48:00;1;SAT;
2022-06-21 13:21:29;;BT67;DO95;33;2022-06-23 00:00:00;14:23:00;14:56:00;1;SAT;
2022-06-22 09:45:49;;BT68;DO96;34;2022-06-24 00:00:00;07:35:00;08:12:00;1;SAT;
2022-06-22 09:45:56;;BT69;DO97;35;2022-06-24 00:00:00;12:10:00;12:42:00;1;SAT;
2022-06-22 09:46:02;;BT70;DO98;36;2022-06-24 00:00:00;12:44:00;13:26:00;1;SAT;
2022-09-27 17:04:36;;BT71;DO99;41;2022-09-28 00:00:00;10:39:00;11:25:00;1;SAT;
2022-09-27 17:04:43;;BT72;DO100;42;2022-09-28 00:00:00;12:08:00;12:58:00;1;SAT;
2022-09-27 17:04:51;;BT73;DO101;43;2022-09-28 00:00:00;13:05:00;13:37:00;1;SAT;
2022-09-28 12:30:32;;BT75;DO104;45;2022-09-29 00:00:00;11:18:00;12:08:00;1;SAT;
2022-09-28 12:30:39;;BT76;DO105;46;2022-09-29 00:00:00;12:56:00;13:46:00;1;SAT;
