TS_UPDATE;USER;make_id;processing_variable;variable_phase;variable_order;variable_value
2022-05-08 18:35:17;;0;MIX_salt_addition_time;1;5;0
2022-05-08 18:35:17;;0;MIX_speed;1;2;62
2022-05-08 18:35:17;;0;MIX_time;1;3;20
2022-05-08 18:35:17;;0;MIX_type;1;1;Farinograph
2022-05-08 18:35:17;;0;MIX_yeast_addition_time;1;4;0
2022-05-08 18:35:17;;1;DIVIDE_dough_weight;4;1;0.92
2022-05-08 18:35:17;;1;EXTRUSION_YN;6;1;NO
2022-05-08 18:35:17;;1;MIX_salt_addition_time;1;5;0
2022-05-08 18:35:17;;1;MIX_speed;1;2;750
2022-05-08 18:35:17;;1;MIX_speed;2;1;1500
2022-05-08 18:35:17;;1;MIX_time;1;3;5
2022-05-08 18:35:17;;1;MIX_time;2;2;5
2022-05-08 18:35:17;;1;MIX_type;1;1;Diosna SP12F
2022-05-08 18:35:17;;1;MIX_yeast_addition_time;1;4;0
2022-05-08 18:35:17;;1;PROOF_rel_humidity;7;3;80
2022-05-08 18:35:17;;1;PROOF_temperature;3;2;20
2022-05-08 18:35:17;;1;PROOF_temperature;5;2;20
2022-05-08 18:35:17;;1;PROOF_temperature;7;2;32
2022-05-08 18:35:17;;1;PROOF_time;3;1;15
2022-05-08 18:35:17;;1;PROOF_time;5;1;15
2022-05-08 18:35:17;;1;PROOF_time;7;1;60
2023-01-03 11:02:09;;10;PROOF_cabinet;6;3;3
2023-01-03 11:02:09;;10;PROOF_rel_humidity;4;2;55.9
2023-01-03 11:02:09;;10;PROOF_rel_humidity;6;2;76
2023-01-03 11:02:09;;10;PROOF_remarks;6;4;ingevallen en overgelopen deeg
2023-01-03 11:02:09;;10;PROOF_temp;6;1;35
2023-01-03 11:02:09;;10;PROOF_temperature;2;1;<fridge>
2023-01-03 11:02:09;;10;PROOF_temperature;4;1;20.2
2023-01-03 11:02:09;;11;PROOF_cabinet;6;3;2
2023-01-03 11:02:09;;11;PROOF_rel_humidity;2;2;56.8
2023-01-03 11:02:09;;11;PROOF_rel_humidity;4;2;56.3
2023-01-03 11:02:09;;11;PROOF_rel_humidity;6;2;58
2023-01-03 11:02:09;;11;PROOF_remarks;6;4;ingevallen en overgelopen deeg
2023-01-03 11:02:09;;11;PROOF_temp;6;1;35
2023-01-03 11:02:09;;11;PROOF_temperature;2;1;20.3
2023-01-03 11:02:09;;11;PROOF_temperature;4;1;20.3
2023-01-03 11:02:09;;12;PROOF_cabinet;6;3;3
2023-01-03 11:02:09;;12;PROOF_rel_humidity;2;2;56.8
2023-01-03 11:02:09;;12;PROOF_rel_humidity;4;2;56.9
2023-01-03 11:02:09;;12;PROOF_rel_humidity;6;2;76
2023-01-03 11:02:09;;12;PROOF_temp;6;1;35
2023-01-03 11:02:09;;12;PROOF_temperature;2;1;20.3
2023-01-03 11:02:09;;12;PROOF_temperature;4;1;20.3
2023-01-03 11:02:09;;13;PROOF_cabinet;6;3;3
2023-01-03 11:02:09;;13;PROOF_rel_humidity;2;2;56.6
2023-01-03 11:02:09;;13;PROOF_rel_humidity;4;2;58.3
2023-01-03 11:02:09;;13;PROOF_rel_humidity;6;2;90
2023-01-03 11:02:09;;13;PROOF_temp;6;1;35
2023-01-03 11:02:09;;13;PROOF_temperature;2;1;19.5
2023-01-03 11:02:09;;13;PROOF_temperature;4;1;20.100000000000001
2023-01-03 11:02:09;;14;PROOF_cabinet;6;3;3
2023-01-03 11:02:09;;14;PROOF_rel_humidity;2;2;58.3
2023-01-03 11:02:09;;14;PROOF_rel_humidity;4;2;60.2
2023-01-03 11:02:09;;14;PROOF_rel_humidity;6;2;77
2023-01-03 11:02:09;;14;PROOF_temp;6;1;35
2023-01-03 11:02:10;;14;PROOF_temperature;2;1;20.2
2023-01-03 11:02:10;;14;PROOF_temperature;4;1;20.3
2023-01-03 11:02:10;;15;PROOF_cabinet;6;3;3
2023-01-03 11:02:10;;15;PROOF_rel_humidity;2;2;57.2
2023-01-03 11:02:10;;15;PROOF_rel_humidity;4;2;54.7
2023-01-03 11:02:10;;15;PROOF_rel_humidity;6;2;83
2023-01-03 11:02:10;;15;PROOF_temp;6;1;35
2023-01-03 11:02:10;;15;PROOF_temperature;2;1;20.2
2023-01-03 11:02:10;;15;PROOF_temperature;4;1;19.899999999999999
2023-01-03 11:02:13;;16;PROOF_cabinet;6;3;3
2023-01-03 11:02:13;;16;PROOF_rel_humidity;4;2;69.3
2023-01-03 11:02:13;;16;PROOF_rel_humidity;6;2;92
2023-01-03 11:02:13;;16;PROOF_temp;6;1;35
2023-01-03 11:02:13;;16;PROOF_temperature;2;1;4
2023-01-03 11:02:13;;16;PROOF_temperature;4;1;19.7
2023-01-03 11:02:13;;17;PROOF_rel_humidity;2;2;70.8
2023-01-03 11:02:13;;17;PROOF_rel_humidity;4;2;70.2
2023-01-03 11:02:13;;17;PROOF_rel_humidity;6;2;<uncontrolled>
2023-01-03 11:02:13;;17;PROOF_temp;6;1;5
2023-01-03 11:02:13;;17;PROOF_temperature;2;1;20.100000000000001
2023-01-03 11:02:13;;17;PROOF_temperature;4;1;20.2
2023-01-03 11:02:13;;18;PROOF_cabinet;6;3;2
2023-01-03 11:02:13;;18;PROOF_rel_humidity;4;2;70.599999999999994
2023-01-03 11:02:13;;18;PROOF_rel_humidity;6;2;50
2023-01-03 11:02:13;;18;PROOF_temp;6;1;20
2023-01-03 11:02:13;;18;PROOF_temperature;2;1;5
2023-01-03 11:02:13;;18;PROOF_temperature;4;1;20
2023-01-03 11:02:13;;19;PROOF_cabinet;6;3;3
2023-01-03 11:02:13;;19;PROOF_rel_humidity;2;2;68.3
2023-01-03 11:02:13;;19;PROOF_rel_humidity;4;2;67.900000000000006
2023-01-03 11:02:13;;19;PROOF_rel_humidity;6;2;92
2023-01-03 11:02:13;;19;PROOF_remarks;6;4;broden zijn ingevallen
2023-01-03 11:02:13;;19;PROOF_temp;6;1;20
2023-01-03 11:02:13;;19;PROOF_temperature;2;1;20.6
2023-01-03 11:02:13;;19;PROOF_temperature;4;1;20
2022-05-08 18:35:17;;2;DIVIDE_dough_weight;3;1;0.92
2022-05-08 18:35:17;;2;EXTRUSION_YN;5;1;NO
2022-05-08 18:35:18;;2;MIX_salt_addition_time;1;5;0
2022-05-08 18:35:18;;2;MIX_speed;1;3;750
2022-05-08 18:35:18;;2;MIX_speed;2;1;1500
2022-05-08 18:35:18;;2;MIX_time;1;2;5
2022-05-08 18:35:18;;2;MIX_time;2;2;6
2022-05-08 18:35:18;;2;MIX_type;1;1;Diosna SP12F
2022-05-08 18:35:18;;2;MIX_yeast_addition_time;1;4;0
2022-05-08 18:35:18;;2;PROOF_rel_humidity;6;3;80
2022-05-08 18:35:18;;2;PROOF_temperature;2;4;20
2022-05-08 18:35:18;;2;PROOF_temperature;4;2;20
2022-05-08 18:35:18;;2;PROOF_temperature;6;2;32
2022-05-08 18:35:18;;2;PROOF_time;2;3;15
2022-05-08 18:35:18;;2;PROOF_time;4;1;15
2022-05-08 18:35:18;;2;PROOF_time;6;1;60
2023-01-03 11:02:13;;20;PROOF_cabinet;6;3;2
2023-01-03 11:02:13;;20;PROOF_rel_humidity;2;2;71.2
2023-01-03 11:02:13;;20;PROOF_rel_humidity;4;2;72.400000000000006
2023-01-03 11:02:13;;20;PROOF_rel_humidity;6;2;72
2023-01-03 11:02:13;;20;PROOF_remarks;6;4;"broden zijn ingevallen
CP's zijn matige hoeveelheid deeg verloren"
2023-01-03 11:02:13;;20;PROOF_temp;6;1;20
2023-01-03 11:02:13;;20;PROOF_temperature;2;1;19.600000000000001
2023-01-03 11:02:13;;20;PROOF_temperature;4;1;19.600000000000001
2023-01-03 11:02:13;;21;PROOF_rel_humidity;4;2;67
2023-01-03 11:02:13;;21;PROOF_rel_humidity;6;2;<uncontrolled>
2023-01-03 11:02:13;;21;PROOF_temp;6;1;5
2023-01-03 11:02:13;;21;PROOF_temperature;2;1;5
2023-01-03 11:02:13;;21;PROOF_temperature;4;1;19
2023-01-03 11:02:05;;22;PROOF_cabinet;6;3;3
2023-01-03 11:02:05;;22;PROOF_rel_humidity;2;2;57.4
2023-01-03 11:02:05;;22;PROOF_rel_humidity;4;2;56.8
2023-01-03 11:02:05;;22;PROOF_rel_humidity;6;2;50
2023-01-03 11:02:05;;22;PROOF_remarks;6;4;deeg is ingevallen en verkorst
2023-01-03 11:02:05;;22;PROOF_temp;6;1;20
2023-01-03 11:02:05;;22;PROOF_temperature;2;1;19.8
2023-01-03 11:02:05;;22;PROOF_temperature;4;1;20.100000000000001
2023-01-03 11:02:05;;23;PROOF_cabinet;2;3;3
2023-01-03 11:02:05;;23;PROOF_rel_humidity;2;2;59.1
2023-01-03 11:02:05;;23;PROOF_rel_humidity;4;2;60.1
2023-01-03 11:02:05;;23;PROOF_rel_humidity;6;2;<uncontrolled>
2023-01-03 11:02:05;;23;PROOF_temp;6;1;5
2023-01-03 11:02:05;;23;PROOF_temperature;2;1;19.899999999999999
2023-01-03 11:02:05;;23;PROOF_temperature;4;1;19.5
2023-01-03 11:02:05;;24;PROOF_rel_humidity;4;2;57.96
2023-01-03 11:02:05;;24;PROOF_rel_humidity;6;2;<uncontrolled>
2023-01-03 11:02:05;;24;PROOF_temp;6;1;5
2023-01-03 11:02:05;;24;PROOF_temperature;2;1;5
2023-01-03 11:02:05;;24;PROOF_temperature;4;1;19.8
2023-01-03 11:02:05;;25;PROOF_rel_humidity;2;2;57
2023-01-03 11:02:05;;25;PROOF_rel_humidity;4;2;56.8
2023-01-03 11:02:05;;25;PROOF_rel_humidity;6;2;<uncontrolled>
2023-01-03 11:02:05;;25;PROOF_temp;6;1;5
2023-01-03 11:02:05;;25;PROOF_temperature;2;1;19.600000000000001
2023-01-03 11:02:05;;25;PROOF_temperature;4;1;20.2
2023-01-03 11:02:05;;26;PROOF_cabinet;6;3;2
2023-01-03 11:02:05;;26;PROOF_rel_humidity;4;2;56.3
2023-01-03 11:02:05;;26;PROOF_rel_humidity;6;2;50
2023-01-03 11:02:05;;26;PROOF_remarks;6;4;brood is overrezen. closed pan wat uit de vorm gelopen en door de droge omstandigheden is er reeds een harde korst voor het afbakken
2023-01-03 11:02:06;;26;PROOF_temp;6;1;35
