TS_UPDATE;USER;dough_id;form_id;make_id;production_dstart;knead_tstart;knead_tstop;bulk_tstart;bulk_dstop;bulk_tstop;bol_tstart;bol_tstop;final_tstart;final_dstop;final_tstop;baker;storage_id
2022-11-30 17:27:27;;DO100;85;41;2022-09-28 00:00:00;10:45:00;11:01:00;11:04:00;2022-09-28 00:00:00;11:19:00;11:26:00;11:41:00;11:48:00;2022-09-28 00:00:00;12:03:00;SAT;
2022-11-30 17:27:27;;DO101;86;42;2022-09-28 00:00:00;12:00:00;12:07:00;12:10:00;2022-09-28 00:00:00;12:25:00;12:30:00;12:45:00;12:49:00;2022-09-28 00:00:00;13:04:00;SAT;
2022-11-30 17:27:27;;DO104;87;45;2022-09-29 00:00:00;09:15:00;09:30:00;09:33:00;2022-09-29 00:00:00;10:33:00;10:40:00;10:55:00;10:58:00;2022-09-29 00:00:00;11:13:00;SAT;
2022-11-30 17:27:27;;DO105;88;46;2022-09-29 00:00:00;11:00:00;11:12:00;11:15:00;2022-09-29 00:00:00;11:30:00;11:34:00;11:49:00;11:51:00;2022-09-29 00:00:00;12:51:00;SAT;
2022-11-30 17:27:27;;DO106;89;47;2022-09-29 00:00:00;11:30:00;11:45:00;11:48:00;2022-09-29 00:00:00;12:03:00;12:06:00;12:21:00;12:24:00;2022-09-29 00:00:00;13:24:00;SAT;
2022-11-30 17:27:27;;DO107;90;48;2022-10-05 00:00:00;08:00:00;08:12:00;08:15:00;2022-10-05 00:00:00;14:15:00;14:21:00;14:36:00;14:39:00;2022-10-05 00:00:00;14:54:00;SAT;
2022-11-30 17:27:27;;DO108;91;49;2022-10-05 00:00:00;08:35:00;08:46:00;08:49:00;2022-10-05 00:00:00;09:49:00;09:55:00;10:13:00;10:13:00;2022-10-05 00:00:00;15:28:00;SAT;
2022-11-30 17:27:27;;DO109;92;50;2022-10-05 00:00:00;08:52:00;09:13:00;09:16:00;2022-10-05 00:00:00;15:16:00;15:21:00;15:36:00;15:41:00;2022-10-05 00:00:00;15:56:00;SAT;
2022-11-30 17:27:27;;DO110;93;51;2022-10-06 00:00:00;09:15:00;09:27:00;09:30:00;2022-10-06 00:00:00;10:30:00;10:37:00;10:52:00;10:59:00;2022-10-06 00:00:00;11:59:00;SAT;
2022-11-30 17:27:27;;DO111;94;52;2022-10-06 00:00:00;10:14:00;10:21:00;10:24:00;2022-10-06 00:00:00;11:24:00;11:30:00;11:48:00;11:54:00;2022-10-06 00:00:00;12:56:00;SAT;
2022-11-30 17:27:27;;DO112;95;53;2022-10-06 00:00:00;11:03:00;11:12:00;11:15:00;2022-10-06 00:00:00;12:15:00;12:19:00;12:32:00;12:39:00;2022-10-06 00:00:00;13:38:00;SAT;
2022-11-30 17:27:27;;DO113;96;54;2022-10-12 00:00:00;08:30:00;08:38:00;08:41:00;2022-10-12 00:00:00;14:41:00;14:47:00;15:02:00;15:09:00;2022-10-13 00:00:00;12:09:00;SAT;
2022-11-30 17:27:27;;DO114;97;55;2022-10-12 00:00:00;09:30:00;09:41:00;09:44:00;2022-10-12 00:00:00;12:44:00;12:51:00;13:06:00;13:13:00;2022-10-13 00:00:00;13:13:00;SAT;
