bake_id;processing_variable;variable_phase;variable_value;variable_order
80;BAKE_level;7;1;3
81;BAKE_level;7;2;3
82;BAKE_level;7;1;3
;BAKE_level;7;1;3
54;BAKE_level;7;1;3
56;BAKE_level;7;2;3
57;BAKE_level;7;1;3
58;BAKE_level;7;1;3
59;BAKE_level;7;1;3
25;BAKE_level;7;1;3
27;BAKE_level;7;1;3
28;BAKE_level;7;1;3
30;BAKE_level;7;1;3
19;BAKE_level;7;1;3
20;BAKE_level;7;2;3
21;BAKE_level;7;1;3
22;BAKE_level;7;1;3
23;BAKE_level;7;1;3
24;BAKE_level;7;1;3
31;BAKE_level;7;1;3
32;BAKE_level;7;1;3
33;BAKE_level;7;1;3
34;BAKE_level;7;1;3
35;BAKE_level;7;1;3
36;BAKE_level;7;1;3
66;BAKE_level;7;1;3
67;BAKE_level;7;2;3
68;BAKE_level;7;1;3
69;BAKE_level;7;2;3
70;BAKE_level;7;1;3
71;BAKE_level;7;1;3
7;BAKE_level;7;1;3
8;BAKE_level;7;2;3
9;BAKE_level;7;1;3
10;BAKE_level;7;1;3
11;BAKE_level;7;1;3
89;BAKE_level;7;1;3
90;BAKE_level;7;2;3
91;BAKE_level;7;1;3
92;BAKE_level;7;1;3
93;BAKE_level;7;1;3
94;BAKE_level;7;2;3
60;BAKE_level;7;1;3
61;BAKE_level;7;1;3
63;BAKE_level;7;1;3
64;BAKE_level;7;2;3
65;BAKE_level;7;1;3
48;BAKE_level;7;1;3
49;BAKE_level;7;2;3
50;BAKE_level;7;1;3
51;BAKE_level;7;1;3
52;BAKE_level;7;2;3
53;BAKE_level;7;1;3
13;BAKE_level;7;1;3
14;BAKE_level;7;1;3
15;BAKE_level;7;1;3
16;BAKE_level;7;1;3
17;BAKE_level;7;1;3
18;BAKE_level;7;1;3
41;BAKE_level;7;1;3
42;BAKE_level;7;1;3
43;BAKE_level;7;1;3
45;BAKE_level;7;1;3
46;BAKE_level;7;1;3
47;BAKE_level;7;2;3
74;BAKE_level;7;1;3
75;BAKE_level;7;2;3
76;BAKE_level;7;1;3
77;BAKE_level;7;1;3
78;BAKE_level;7;2;3
79;BAKE_level;7;2;3
83;BAKE_level;7;2;3
84;BAKE_level;7;2;3
85;BAKE_level;7;2;3
86;BAKE_level;7;2;3
87;BAKE_level;7;1;3
88;BAKE_level;7;2;3
80;BAKE_temperature_upper;7;210;1
80;BAKE_temperature_lower;7;202;2
80;BAKE_level;7;1;3
81;BAKE_temperature_upper;7;210;1
81;BAKE_temperature_lower;7;202;2
81;BAKE_level;7;2;3
82;BAKE_temperature_upper;7;210;1
82;BAKE_temperature_lower;7;202;2
82;BAKE_level;7;1;3
;BAKE_temperature_upper;7;205;1
;BAKE_temperature_lower;7;230;2
;BAKE_level;7;1;3
54;BAKE_temperature_upper;7;205;1
54;BAKE_temperature_lower;7;230;2
54;BAKE_level;7;1;3
56;BAKE_temperature_upper;7;205;1
56;BAKE_temperature_lower;7;230;2
56;BAKE_level;7;2;3
57;BAKE_temperature_upper;7;205;1
57;BAKE_temperature_lower;7;230;2
57;BAKE_level;7;1;3
58;BAKE_temperature_upper;7;205;1
58;BAKE_temperature_lower;7;230;2
58;BAKE_level;7;1;3
59;BAKE_temperature_upper;7;205;1
59;BAKE_temperature_lower;7;230;2
59;BAKE_level;7;1;3
25;BAKE_temperature_upper;7;180;1
25;BAKE_temperature_lower;7;180;2
25;BAKE_level;7;1;3
26;BAKE_temperature_upper;7;180;1
26;BAKE_temperature_lower;7;180;2
26;BAKE_level;7;1;3
27;BAKE_temperature_upper;7;180;1
27;BAKE_temperature_lower;7;180;2
27;BAKE_level;7;1;3
28;BAKE_temperature_upper;7;180;1
28;BAKE_temperature_lower;7;180;2
28;BAKE_level;7;1;3
29;BAKE_temperature_upper;7;180;1
29;BAKE_temperature_lower;7;180;2
29;BAKE_level;7;2;3
30;BAKE_temperature_upper;7;180;1
30;BAKE_temperature_lower;7;180;2
30;BAKE_level;7;1;3
19;BAKE_temperature_upper;7;189;1
19;BAKE_temperature_lower;7;180;2
19;BAKE_level;7;1;3
20;BAKE_temperature_upper;7;189;1
20;BAKE_temperature_lower;7;180;2
20;BAKE_level;7;2;3
21;BAKE_temperature_upper;7;189;1
21;BAKE_temperature_lower;7;180;2
21;BAKE_level;7;1;3
22;BAKE_temperature_upper;7;189;1
22;BAKE_temperature_lower;7;180;2
22;BAKE_level;7;1;3
23;BAKE_temperature_upper;7;189;1
23;BAKE_temperature_lower;7;180;2
23;BAKE_level;7;1;3
24;BAKE_temperature_upper;7;189;1
24;BAKE_temperature_lower;7;180;2
24;BAKE_level;7;1;3
31;BAKE_temperature_upper;7;240;1
31;BAKE_temperature_lower;7;230;2
31;BAKE_level;7;1;3
32;BAKE_temperature_upper;7;240;1
32;BAKE_temperature_lower;7;230;2
32;BAKE_level;7;1;3
33;BAKE_temperature_upper;7;240;1
33;BAKE_temperature_lower;7;230;2
33;BAKE_level;7;1;3
34;BAKE_temperature_upper;7;240;1
34;BAKE_temperature_lower;7;230;2
34;BAKE_level;7;1;3
35;BAKE_temperature_upper;7;240;1
35;BAKE_temperature_lower;7;230;2
35;BAKE_level;7;1;3
36;BAKE_temperature_upper;7;240;1
36;BAKE_temperature_lower;7;230;2
36;BAKE_level;7;1;3
66;BAKE_temperature_upper;7;240;1
66;BAKE_temperature_lower;7;230;2
66;BAKE_level;7;1;3
67;BAKE_temperature_upper;7;240;1
67;BAKE_temperature_lower;7;230;2
67;BAKE_level;7;2;3
68;BAKE_temperature_upper;7;240;1
68;BAKE_temperature_lower;7;230;2
68;BAKE_level;7;1;3
69;BAKE_temperature_upper;7;240;1
69;BAKE_temperature_lower;7;230;2
69;BAKE_level;7;2;3
70;BAKE_temperature_upper;7;240;1
70;BAKE_temperature_lower;7;230;2
70;BAKE_level;7;1;3
71;BAKE_temperature_upper;7;240;1
71;BAKE_temperature_lower;7;230;2
71;BAKE_level;7;1;3
7;BAKE_temperature_upper;7;183;1
7;BAKE_temperature_lower;7;202;2
7;BAKE_level;7;1;3
8;BAKE_temperature_upper;7;183;1
8;BAKE_temperature_lower;7;202;2
8;BAKE_level;7;2;3
9;BAKE_temperature_upper;7;183;1
9;BAKE_temperature_lower;7;202;2
9;BAKE_level;7;1;3
10;BAKE_temperature_upper;7;183;1
10;BAKE_temperature_lower;7;202;2
10;BAKE_level;7;1;3
11;BAKE_temperature_upper;7;183;1
11;BAKE_temperature_lower;7;202;2
11;BAKE_level;7;1;3
12;BAKE_temperature_upper;7;183;1
12;BAKE_temperature_lower;7;202;2
12;BAKE_level;7;1;3
89;BAKE_temperature_upper;7;222;1
89;BAKE_temperature_lower;7;180;2
89;BAKE_level;7;1;3
90;BAKE_temperature_upper;7;222;1
90;BAKE_temperature_lower;7;180;2
90;BAKE_level;7;2;3
91;BAKE_temperature_upper;7;222;1
91;BAKE_temperature_lower;7;180;2
91;BAKE_level;7;1;3
92;BAKE_temperature_upper;7;222;1
92;BAKE_temperature_lower;7;180;2
92;BAKE_level;7;1;3
93;BAKE_temperature_upper;7;222;1
93;BAKE_temperature_lower;7;180;2
93;BAKE_level;7;1;3
94;BAKE_temperature_upper;7;222;1
94;BAKE_temperature_lower;7;180;2
94;BAKE_level;7;2;3
60;BAKE_temperature_upper;7;237;1
60;BAKE_temperature_lower;7;230;2
60;BAKE_level;7;1;3
61;BAKE_temperature_upper;7;237;1
61;BAKE_temperature_lower;7;230;2
61;BAKE_level;7;1;3
62;BAKE_temperature_upper;7;237;1
62;BAKE_temperature_lower;7;230;2
62;BAKE_level;7;2;3
63;BAKE_temperature_upper;7;237;1
63;BAKE_temperature_lower;7;230;2
63;BAKE_level;7;1;3
64;BAKE_temperature_upper;7;237;1
64;BAKE_temperature_lower;7;230;2
64;BAKE_level;7;2;3
65;BAKE_temperature_upper;7;237;1
65;BAKE_temperature_lower;7;230;2
65;BAKE_level;7;1;3
48;BAKE_temperature_upper;7;213;1
48;BAKE_temperature_lower;7;230;2
48;BAKE_level;7;1;3
49;BAKE_temperature_upper;7;213;1
49;BAKE_temperature_lower;7;230;2
49;BAKE_level;7;2;3
50;BAKE_temperature_upper;7;213;1
50;BAKE_temperature_lower;7;230;2
50;BAKE_level;7;1;3
51;BAKE_temperature_upper;7;213;1
51;BAKE_temperature_lower;7;230;2
51;BAKE_level;7;1;3
52;BAKE_temperature_upper;7;213;1
52;BAKE_temperature_lower;7;230;2
52;BAKE_level;7;2;3
53;BAKE_temperature_upper;7;213;1
53;BAKE_temperature_lower;7;230;2
53;BAKE_level;7;1;3
13;BAKE_temperature_upper;7;231;1
13;BAKE_temperature_lower;7;180;2
13;BAKE_level;7;1;3
14;BAKE_temperature_upper;7;231;1
14;BAKE_temperature_lower;7;180;2
14;BAKE_level;7;1;3
15;BAKE_temperature_upper;7;231;1
15;BAKE_temperature_lower;7;180;2
15;BAKE_level;7;1;3
16;BAKE_temperature_upper;7;231;1
16;BAKE_temperature_lower;7;180;2
16;BAKE_level;7;1;3
17;BAKE_temperature_upper;7;231;1
17;BAKE_temperature_lower;7;180;2
17;BAKE_level;7;1;3
18;BAKE_temperature_upper;7;231;1
18;BAKE_temperature_lower;7;180;2
