make_id;processing_variable;variable_phase;variable_value;variable_order
81;PROOF_temperature;2;19.899999999999999;1
81;PROOF_rel_humidity;2;61.3;2
81;PROOF_temperature;4;19.899999999999999;1
81;PROOF_rel_humidity;4;62.4;2
82;PROOF_temperature;2;20.9;1
82;PROOF_rel_humidity;2;61.9;2
82;PROOF_temperature;4;20.3;1
82;PROOF_rel_humidity;4;64.5;2
83;PROOF_temperature;2;21.2;1
83;PROOF_rel_humidity;2;61.6;2
83;PROOF_temperature;4;20.2;1
83;PROOF_rel_humidity;4;55.6;2
54;PROOF_temperature;2;4;1
54;PROOF_temperature;4;19.8;1
54;PROOF_rel_humidity;4;51.8;2
55;PROOF_temperature;2;5;1
55;PROOF_temperature;4;19.899999999999999;1
55;PROOF_rel_humidity;4;53.5;2
56;PROOF_temperature;2;5;1
56;PROOF_temperature;4;19.8;1
56;PROOF_rel_humidity;4;64.3;2
57;PROOF_temperature;2;5;1
57;PROOF_temperature;4;20;1
57;PROOF_rel_humidity;4;72.3;2
58;PROOF_temperature;2;5;1
58;PROOF_temperature;4;19.8;1
58;PROOF_rel_humidity;4;75.2;2
59;PROOF_temperature;2;5;1
59;PROOF_temperature;4;19.899999999999999;1
59;PROOF_rel_humidity;4;77;2
28;PROOF_temperature;2;5;1
28;PROOF_temperature;4;20;1
28;PROOF_rel_humidity;4;59.9;2
29;PROOF_temperature;2;20;1
29;PROOF_rel_humidity;2;57.8;2
29;PROOF_temperature;4;20.8;1
29;PROOF_rel_humidity;4;66.099999999999994;2
30;PROOF_temperature;2;19.8;1
30;PROOF_rel_humidity;2;55.9;2
30;PROOF_temperature;4;20;1
30;PROOF_rel_humidity;4;63.8;2
31;PROOF_temperature;2;20.2;1
31;PROOF_rel_humidity;2;70.099999999999994;2
31;PROOF_temperature;4;20.5;1
31;PROOF_rel_humidity;4;64.7;2
32;PROOF_temperature;2;<logger>;1
32;PROOF_rel_humidity;2;<logger>;2
32;PROOF_temperature;4;<logger>;1
32;PROOF_rel_humidity;4;<logger>;2
33;PROOF_temperature;2;20.6;1
33;PROOF_rel_humidity;2;69.099999999999994;2
33;PROOF_temperature;4;20.8;1
33;PROOF_rel_humidity;4;68.8;2
22;PROOF_temperature;2;19.8;1
22;PROOF_rel_humidity;2;57.4;2
22;PROOF_temperature;4;20.100000000000001;1
22;PROOF_rel_humidity;4;56.8;2
22;PROOF_cabinet;6;3;3
23;PROOF_temperature;2;19.899999999999999;1
23;PROOF_rel_humidity;2;59.1;2
23;PROOF_cabinet;2;3;3
23;PROOF_temperature;4;19.5;1
23;PROOF_rel_humidity;4;60.1;2
24;PROOF_temperature;2;5;1
24;PROOF_temperature;4;19.8;1
24;PROOF_rel_humidity;4;57.96;2
25;PROOF_temperature;2;19.600000000000001;1
25;PROOF_rel_humidity;2;57;2
25;PROOF_temperature;4;20.2;1
25;PROOF_rel_humidity;4;56.8;2
26;PROOF_temperature;2;5;1
26;PROOF_temperature;4;20.7;1
26;PROOF_rel_humidity;4;56.3;2
26;PROOF_cabinet;6;2;3
27;PROOF_temperature;2;5;1
27;PROOF_temperature;4;19.8;1
27;PROOF_rel_humidity;4;52.6;2
34;PROOF_temperature;2;5;1
34;PROOF_temperature;4;20;1
34;PROOF_rel_humidity;4;68.2;2
34;PROOF_cabinet;6;3;3
35;PROOF_temperature;2;4;1
35;PROOF_temperature;4;20;1
35;PROOF_rel_humidity;4;67;2
35;PROOF_cabinet;6;2;3
36;PROOF_temperature;2;20.3;1
36;PROOF_rel_humidity;2;67;2
36;PROOF_temperature;4;20;1
36;PROOF_rel_humidity;4;65.7;2
36;PROOF_cabinet;6;1;3
37;PROOF_temperature;2;20.3;1
37;PROOF_rel_humidity;2;77.599999999999994;2
37;PROOF_temperature;4;20.100000000000001;1
37;PROOF_rel_humidity;4;75.099999999999994;2
37;PROOF_cabinet;6;1;3
38;PROOF_temperature;2;5;1
38;PROOF_temperature;4;20;1
38;PROOF_rel_humidity;4;71.7;2
38;PROOF_cabinet;6;2;3
39;PROOF_temperature;2;5;1
39;PROOF_temperature;4;20;1
39;PROOF_rel_humidity;4;71.3;2
39;PROOF_cabinet;6;3;3
66;PROOF_temperature;2;<fridge temp>;1
66;PROOF_temperature;4;20.2;1
66;PROOF_rel_humidity;4;59.4;2
66;PROOF_cabinet;6;3;3
67;PROOF_temperature;2;<fridge temp>;1
67;PROOF_temperature;4;19.899999999999999;1
67;PROOF_rel_humidity;4;58.7;2
67;PROOF_cabinet;6;1;3
68;PROOF_temperature;2;<fridge temp>;1
68;PROOF_temperature;4;20;1
68;PROOF_rel_humidity;4;29.1;2
68;PROOF_cabinet;6;3;3
69;PROOF_temperature;2;18.899999999999999;1
69;PROOF_rel_humidity;2;52.6;2
69;PROOF_temperature;4;19.8;1
69;PROOF_rel_humidity;4;57.3;2
69;PROOF_cabinet;6;3;3
70;PROOF_temperature;2;18.7;1
70;PROOF_rel_humidity;2;53.5;2
70;PROOF_temperature;4;18.899999999999999;1
