DoughID,BakeTest,MakeID,BakeID,Sensor1,Sensor2,FormID
DO47,BT19,81,80,100000006A058341,CE00000069FC1541,33
DO48,BT20,82,81,C30000006A046241,EB00000069FD8641,34
DO49,BT21,83,82,2800000069FECD41,C80000006A00DC41,35
DO113,BT84,54,95,0C0000007E66C341,760000007E6C8541,96
DO114,BT85,55,54,020000007E67A341,B70000007E6FDD41,97
DO115,BT86,56,56,100000007E6A9D41,690000007E6CE141,98
DO116,BT87,57,57,2800000069FECD41,C80000006A00DC41,99
DO117,BT88,58,58,100000006A058341,EB00000069FD8641,100
DO118,BT89,59,59,1D00000069FCED41,CE00000069FC1541,101
DO87,BT59,28,25,0C0000007E66C341,760000007E6C8541,73
DO88,BT60,29,26,020000007E67A341,B70000007E6FDD41,74
DO89,BT61,30,27,100000007E6A9D41,690000007E6CE141,73
DO90,BT62,31,28,2800000069FECD41,C80000006A00DC41,75
DO91,BT63,32,29,,,76
DO92,BT64,33,30,100000006A058341,1D00000069FCED41,77
DO81,BT53,22,19,0C0000007E66C341,760000007E6C8541,67
DO82,BT54,23,20,020000007E67A341,B70000007E6FDD41,68
DO83,BT55,24,21,100000007E6A9D41,690000007E6CE141,69
DO84,BT56,25,22,2800000069FECD41,C80000006A00DC41,70
DO85,BT57,26,23,CE00000069FC1541,EB00000069FD8641,71
DO86,BT58,27,24,100000006A058341,1D00000069FCED41,72
DO93,BT65,34,31,0C0000007E66C341,760000007E6C8541,78
DO94,BT66,35,32,020000007E67A341,B70000007E6FDD41,79
DO95,BT67,36,33,100000007E6A9D41,690000007E6CE141,80
DO96,BT68,37,34,2800000069FECD41,C80000006A00DC41,81
DO97,BT69,38,35,CE00000069FC1541,EB00000069FD8641,82
DO98,BT70,39,36,100000006A058341,1D00000069FCED41,83
DO125,BT96,66,66,020000007E67A341,760000007E6C8541,108
DO126,BT97,67,67,0C0000007E66C341,100000007E6A9D41,109
DO127,BT98,68,68,690000007E6CE141,B70000007E6FDD41,110
DO128,BT99,69,69,C80000006A00DC41,CE00000069FC1541,111
DO129,BT100,70,70,1D00000069FCED41,2800000069FECD41,112
DO130,BT101,71,71,100000006A058341,EB00000069FD8641,113
DO65,BT37,10,7,2800000069FECD41,C80000006A00DC41,51
DO66,BT38,11,8,CE00000069FC1541,EB00000069FD8641,52
DO67,BT39,12,9,100000006A058341,C30000006A046241,53
DO68,BT40,13,10,0C0000007E66C341,760000007E6C8541,54
DO69,BT41,14,11,020000007E67A341,B70000007E6FDD41,55
DO70,BT42,15,12,100000007E6A9D41,690000007E6CE141,56
DO56,BT28,90,89,0C0000007E66C341,760000007E6C8541,42
DO57,BT29,91,90,020000007E67A341,B70000007E6FDD41,43
DO58,BT30,92,91,100000007E6A9D41,690000007E6CE141,44
DO59,BT31,93,92,2800000069FECD41,C80000006A00DC41,45
DO60,BT32,94,93,CE00000069FC1541,EB00000069FD8641,46
DO61,BT33,95,94,100000006A058341,C30000006A046241,47
DO119,BT90,60,60,0C0000007E66C341,760000007E6C8541,102
DO120,BT91,61,61,020000007E67A341,B70000007E6FDD41,103
DO121,BT92,62,62,100000007E6A9D41,690000007E6CE141,104
DO122,BT93,63,63,2800000069FECD41,C80000006A00DC41,105
DO123,BT94,64,64,100000006A058341,EB00000069FD8641,106
DO124,BT95,65,65,1D00000069FCED41,CE00000069FC1541,107
DO107,BT78,48,48,0C0000007E66C341,760000007E6C8541,90
DO108,BT79,49,49,020000007E67A341,B70000007E6FDD41,91
DO109,BT80,50,50,100000007E6A9D41,690000007E6CE141,92
DO110,BT81,51,51,2800000069FECD41,C80000006A00DC41,93
DO111,BT82,52,52,100000006A058341,EB00000069FD8641,94
DO112,BT83,53,53,1D00000069FCED41,CE00000069FC1541,95
DO71,BT43,16,13,0C0000007E66C341,760000007E6C8541,57
DO72,BT44,17,14,020000007E67A341,B70000007E6FDD41,58
DO73,BT45,18,15,100000007E6A9D41,690000007E6CE141,59
DO74,BT46,19,16,2800000069FECD41,C80000006A00DC41,60
DO75,BT47,20,17,CE00000069FC1541,EB00000069FD8641,61
DO76,BT48,21,18,100000006A058341,1D00000069FCED41,62
DO99,BT71,40,41,0C0000007E66C341,760000007E6C8541,84
DO100,BT72,41,42,020000007E67A341,B70000007E6FDD41,85
DO101,BT73,42,43,100000007E6A9D41,690000007E6CE141,86
DO104,BT75,45,45,2800000069FECD41,C80000006A00DC41,87
DO105,BT76,46,46,100000006A058341,EB00000069FD8641,88
DO106,BT77,47,47,1D00000069FCED41,CE00000069FC1541,89
DO133,BT104,74,74,020000007E67A341,760000007E6C8541,114
DO134,BT105,75,75,0C0000007E66C341,100000007E6A9D41,115
DO135,BT106,76,76,690000007E6CE141,B70000007E6FDD41,116
DO137,BT107,78,77,C80000006A00DC41,CE00000069FC1541,117
DO138,BT108,79,78,1D00000069FCED41,2800000069FECD41,118
DO139,BT109,80,79,100000006A058341,EB00000069FD8641,119
DO50,BT22,84,83,100000006A058341,CE00000069FC1541,36
DO51,BT23,85,84,2800000069FECD41,C30000006A046241,37
DO52,BT24,86,85,C80000006A00DC41,EB00000069FD8641,38
DO53,BT25,87,86,020000007E67A341,100000007E6A9D41,39
DO54,BT26,88,87,0C0000007E66C341,B70000007E6FDD41,40
DO55,BT27,89,88,690000007E6CE141,760000007E6C8541,41
