DOID,Bulkproof start,Bulkproof stop,Finalproof start, Finalproof stop,Bake start, Bake stop
DO100,2022-09-28 11:04,2022-09-28 11:19,2022-09-28 11:48,2022-09-28 12:03,2022-09-28 12:08,2022-09-28 12:58
DO101,2022-09-28 12:10,2022-09-28 12:25,2022-09-28 12:49,2022-09-28 13:04,2022-09-28 13:05,2022-09-28 13:37
DO104,2022-09-29 09:33,2022-09-29 10:33,2022-09-29 10:58,2022-09-29 11:13,2022-09-29 11:18,2022-09-29 12:08
DO105,2022-09-29 11:15,2022-09-29 11:30,2022-09-29 11:51,2022-09-29 12:51,2022-09-29 12:56,2022-09-29 13:46
DO106,2022-09-29 11:48,2022-09-29 12:03,2022-09-29 12:24,2022-09-29 13:24,2022-09-29 13:28,2022-09-29 14:09
DO107,2022-10-05 08:15,2022-10-05 14:15,2022-10-05 14:39,2022-10-05 14:54,2022-10-05 14:58,2022-10-05 15:30
DO108,2022-10-05 08:49,2022-10-05 09:49,2022-10-05 10:13,2022-10-05 15:28,2022-10-05 15:33,2022-10-05 16:05
DO109,2022-10-05 09:16,2022-10-05 15:16,2022-10-05 15:41,2022-10-05 15:56,2022-10-05 16:01,2022-10-05 16:33
DO110,2022-10-06 09:30,2022-10-06 10:30,2022-10-06 10:59,2022-10-06 11:59,2022-10-06 12:02,2022-10-06 12:52
DO111,2022-10-06 10:24,2022-10-06 11:24,2022-10-06 11:54,2022-10-06 12:56,2022-10-06 12:58,2022-10-06 13:38
DO112,2022-10-06 11:15,2022-10-06 12:15,2022-10-06 12:39,2022-10-06 13:38,2022-10-06 13:41,2022-10-06 14:28
DO113,2022-10-12 08:41,2022-10-12 14:41,2022-10-12 15:09,2022-10-13 12:09,2022-10-13 12:15,2022-10-13 13:03
DO114,2022-10-12 09:44,2022-10-12 12:44,2022-10-12 13:13,2022-10-13 13:13,2022-10-13 13:18,2022-10-13 14:06
DO115,2022-10-12 10:10,2022-10-13 10:10,2022-10-13 10:35,2022-10-13 13:35,2022-10-13 13:40,2022-10-13 14:28
DO116,2022-10-13 09:35,2022-10-13 09:52,2022-10-13 10:17,2022-10-13 11:17,2022-10-13 11:21,2022-10-13 12:09
DO117,2022-10-13 10:33,2022-10-13 11:33,2022-10-13 12:02,2022-10-13 12:17,2022-10-13 12:22,2022-10-13 13:10
DO118,2022-10-13 12:32,2022-10-13 12:47,2022-10-13 13:14,2022-10-13 14:14,2022-10-13 14:19,2022-10-13 15:07
DO119,2022-10-19 09:09,2022-10-19 09:24,2022-10-19 09:53,2022-10-19 11:38,2022-10-19 11:40,2022-10-19 12:13
DO120,2022-10-19 10:00,2022-10-19 10:15,2022-10-19 10:41,2022-10-19 12:26,2022-10-19 12:31,2022-10-19 13:06
DO121,2022-10-19 10:34,2022-10-19 11:34,2022-10-19 11:56,2022-10-19 12:56,2022-10-19 13:01,2022-10-19 13:39
DO122,2022-10-20 09:35,2022-10-20 09:50,2022-10-20 10:14,2022-10-20 10:29,2022-10-20 10:34,2022-10-20 11:06
DO123,2022-10-20 10:40,2022-10-20 10:55,2022-10-20 11:20,2022-10-20 11:35,2022-10-20 11:40,2022-10-20 12:15
DO124,2022-10-20 11:55,2022-10-20 12:10,2022-10-20 12:39,2022-10-20 12:54,2022-10-20 12:59,2022-10-20 13:34
DO125,2022-11-17 09:22,2022-11-17 12:22,2022-11-17 12:51,2022-11-17 13:51,2022-11-17 13:53,2022-11-17 14:29
DO126,2022-11-17 10:00,2022-11-17 13:00,2022-11-17 13:29,2022-11-17 14:29,2022-11-17 14:32,2022-11-17 15:19
DO127,2022-11-17 10:50,2022-11-17 13:50,2022-11-17 14:19,2022-11-17 15:19,2022-11-17 15:24,2022-11-17 16:00
DO128,2022-11-18 08:13,2022-11-18 11:22,2022-11-18 11:47,2022-11-18 14:47,2022-11-18 14:52,2022-11-18 15:41
DO129,2022-11-18 08:40,2022-11-18 08:55,2022-11-18 09:24,2022-11-18 15:09,2022-11-18 15:14,2022-11-18 15:46
DO130,2022-11-18 09:26,2022-11-18 12:26,2022-11-18 12:55,2022-11-18 15:55,2022-11-18 16:00,2022-11-18 16:32
DO133,2022-11-23 07:48,2022-11-23 08:03,2022-11-23 08:32,2022-11-23 14:32,2022-11-23 14:37,2022-11-23 15:26
DO134,2022-11-23 08:44,2022-11-23 11:44,2022-11-23 12:13,2022-11-23 15:28,2022-11-23 15:33,2022-11-23 16:14
DO135,2022-11-23 08:55,2022-11-23 14:55,2022-11-23 15:24,2022-11-23 15:39,2022-11-23 15:44,2022-11-23 16:24
DO136,nothing found
DO137,2022-11-24 09:12,2022-11-24 09:27,2022-11-24 10:05,2022-11-24 11:05,2022-11-24 11:10,2022-11-24 11:42
DO138,2022-11-24 10:12,2022-11-24 10:27,2022-11-24 10:49,2022-11-24 11:49,2022-11-24 11:51,2022-11-24 12:41
DO139,2022-11-24 11:32,2022-11-24 12:32,2022-11-24 13:01,2022-11-24 13:16,2022-11-24 13:21,2022-11-24 13:53
DO47,2022-04-14 09:28,2022-04-14 15:28,2022-04-14 15:48,2022-04-14 16:07,2022-04-14 16:12,2022-04-14 16:49
DO48,2022-04-14 09:58,2022-04-14 10:58,2022-04-14 11:22,2022-04-14 16:37,2022-04-14 16:40,2022-04-14 17:15
DO49,2022-04-14 10:13,2022-04-14 13:15,2022-04-14 13:37,2022-04-14 16:52,2022-04-14 16:52,2022-04-14 17:29
DO50,2022-04-27 10:40,2022-04-27 10:55,2022-04-27 11:19,2022-04-28 11:19,2022-04-28 11:24,2022-04-28 11:56
DO51,2022-04-27 11:56,2022-04-27 14:56,2022-04-27 15:17,2022-04-28 12:32,2022-04-28 12:34,2022-04-28 13:20
DO52,2022-04-27 13:34,2022-04-28 13:34,2022-04-28 13:57,2022-04-28 14:12,2022-04-28 14:18,2022-04-28 14:57
DO53,2022-04-28 09:19,2022-04-28 15:19,2022-04-28 15:41,2022-04-28 15:56,2022-04-28 16:01,2022-04-28 16:33
DO54,2022-04-28 09:42,2022-04-28 15:43,2022-04-28 16:05,2022-04-28 16:20,2022-04-28 16:25,2022-04-28 16:57
DO55,2022-04-28 10:05,2022-04-28 11:05,2022-04-28 11:27,2022-04-28 16:42,2022-04-28 16:46,2022-04-28 17:25
DO56,2022-05-04 14:17,2022-05-04 15:17,2022-05-04 15:38,2022-05-05 09:55,2022-05-05 10:00,2022-05-05 10:50
DO57,2022-05-04 14:43,2022-05-04 15:45,2022-05-04 16:07,2022-05-05 10:25,2022-05-05 10:30,2022-05-05 11:09
DO58,2022-05-04 15:15,2022-05-04 15:30,2022-05-04 15:57,2022-05-05 10:55,2022-05-05 11:00,2022-05-05 11:32
DO59,2022-05-05 11:44,2022-05-05 12:44,2022-05-05 13:06,2022-05-06 13:28,2022-05-06 13:33,2022-05-06 14:08
DO60,2022-05-05 14:37,2022-05-06 08:37,2022-05-06 09:02,2022-05-06 15:17,2022-05-06 15:22,2022-05-06 15:54
DO61,2022-05-05 15:03,2022-05-06 09:03,2022-05-06 09:32,2022-05-06 15:47,2022-05-06 15:52,2022-05-06 16:32
DO62,,,,,,
DO63,,,,,,
DO64,,,,,,
DO65,2022-05-12 11:55,2022-05-12 12:55,2022-05-12 13:21,2022-05-13 09:21,2022-05-13 09:23,2022-05-13 10:00
DO66,2022-05-12 13:48,2022-05-12 14:03,2022-05-12 14:32,2022-05-13 11:17,2022-05-13 11:22,2022-05-13 12:12
DO67,2022-05-12 14:33,2022-05-13 09:41,2022-05-13 10:03,2022-05-13 13:03,2022-05-13 13:03,2022-05-13 13:44
DO68,2022-05-13 08:40,2022-05-13 08:55,2022-05-13 09:27,2022-05-13 10:29,2022-05-13 10:34,2022-05-13 11:10
DO69,2022-05-13 09:19,2022-05-13 09:34,2022-05-13 09:56,2022-05-13 10:56,2022-05-13 10:59,2022-05-13 11:29
DO70,2022-05-13 11:55,2022-05-13 12:55,2022-05-13 13:19,2022-05-13 13:34,2022-05-13 13:39,2022-05-13 14:14
DO71,2022-05-18 10:04,2022-05-18 10:19,2022-05-18 10:46,2022-05-18 11:46,2022-05-18 11:47,2022-05-18 12:16
DO72,2022-05-18 11:03,2022-05-18 11:18,2022-05-18 11:40,2022-05-18 12:40,2022-05-18 12:41,2022-05-18 13:19
DO73,2022-05-18 12:29,2022-05-18 13:30,2022-05-18 13:55,2022-05-18 14:10,2022-05-18 14:15,2022-05-18 14:47
DO74,2022-05-19 06:46,2022-05-19 07:01,2022-05-19 07:28,2022-05-20 13:13,2022-05-20 13:15,2022-05-20 14:05
DO75,2022-05-19 09:08,2022-05-19 09:23,2022-05-19 09:48,2022-05-20 15:33,2022-05-20 15:34,2022-05-20 16:13
DO76,2022-05-19 12:21,2022-05-20 06:21,2022-05-20 06:45,2022-05-20 18:44,2022-05-20 18:46,2022-05-20 19:36
DO77,,,,,,
DO78,,,,,,
DO79,,,,,,
DO80,,,,,,
DO81,2022-06-01 09:16,2022-06-01 09:31,2022-06-01 09:57,2022-06-02 15:42,2022-06-02 15:47,2022-06-02 16:19
