;set_temperature__sum_values;set_temperature__median;set_temperature__mean;set_temperature__length;set_temperature__standard_deviation;set_temperature__variance;set_temperature__root_mean_square;set_temperature__maximum;set_temperature__absolute_maximum;set_temperature__minimum;real_temperature__sum_values;real_temperature__median;real_temperature__mean;real_temperature__length;real_temperature__standard_deviation;real_temperature__variance;real_temperature__root_mean_square;real_temperature__maximum;real_temperature__absolute_maximum;real_temperature__minimum
DO100020000007E67A341;6020.0;20.0;20.0;301.0;0.0;0.0;20.0;20.0;20.0;20.0;5192.25;17.25;17.25;301.0;0.0;0.0;17.25;17.25;17.25;17.25
DO100B70000007E6FDD41;6020.0;20.0;20.0;301.0;0.0;0.0;20.0;20.0;20.0;20.0;4533.661999999999;15.062;15.061999999999998;301.0;1.7763568394002505e-15;3.1554436208840472e-30;15.061999999999998;15.062;15.062;15.062
DO101100000007E6A9D41;6020.0;20.0;20.0;301.0;0.0;0.0;20.0;20.0;20.0;20.0;4665.5;15.5;15.5;301.0;0.0;0.0;15.5;15.5;15.5;15.5
DO101690000007E6CE141;6020.0;20.0;20.0;301.0;0.0;0.0;20.0;20.0;20.0;20.0;4778.375;15.875;15.875;301.0;0.0;0.0;15.875;15.875;15.875;15.875
DO1042800000069FECD41;4505.0;5.0;5.0;901.0;0.0;0.0;5.0;5.0;5.0;5.0;22019.538999999997;24.439;24.438999999999997;901.0;3.552713678800501e-15;1.262177448353619e-29;24.438999999999997;24.439;24.439;24.439
DO104C80000006A00DC41;4505.0;5.0;5.0;901.0;0.0;0.0;5.0;5.0;5.0;5.0;21954.667;24.367;24.367;901.0;0.0;0.0;24.367;24.367;24.367;24.367
DO105100000006A058341;4520.0;20.0;20.0;226.0;0.0;0.0;20.0;20.0;20.0;20.0;4441.126;19.651;19.651;226.0;0.0;0.0;19.651000000000003;19.651;19.651;19.651
DO105EB00000069FD8641;4520.0;20.0;20.0;226.0;0.0;0.0;20.0;20.0;20.0;20.0;4444.063999999999;19.664;19.663999999999998;226.0;3.552713678800501e-15;1.262177448353619e-29;19.664;19.664;19.664;19.664
DO1061D00000069FCED41;1130.0;5.0;5.0;226.0;0.0;0.0;5.0;5.0;5.0;5.0;4774.476000000001;21.126;21.126;226.0;0.0;0.0;21.125999999999998;21.126;21.126;21.126
DO106CE00000069FC1541;1130.0;5.0;5.0;226.0;0.0;0.0;5.0;5.0;5.0;5.0;4617.406000000001;20.431;20.431000000000004;226.0;3.552713678800501e-15;1.262177448353619e-29;20.431000000000004;20.431;20.431;20.431
DO108020000007E67A341;2255.0;5.0;5.0;451.0;0.0;0.0;5.0;5.0;5.0;5.0;7385.125;16.375;16.375;451.0;0.0;0.0;16.375;16.375;16.375;16.375
DO108B70000007E6FDD41;2255.0;5.0;5.0;451.0;0.0;0.0;5.0;5.0;5.0;5.0;6398.787999999999;14.188;14.187999999999997;451.0;3.552713678800501e-15;1.262177448353619e-29;14.188;14.188;14.188;14.188
DO109100000007E6A9D41;13505.0;5.0;5.0;2701.0;0.0;0.0;5.0;5.0;5.0;5.0;37814.0;14.0;14.0;2701.0;0.0;0.0;14.0;14.0;14.0;14.0
DO109690000007E6CE141;13505.0;5.0;5.0;2701.0;0.0;0.0;5.0;5.0;5.0;5.0;37814.0;14.0;14.0;2701.0;0.0;0.0;14.0;14.0;14.0;14.0
DO125020000007E67A341;9005.0;5.0;5.0;1801.0;0.0;0.0;5.0;5.0;5.0;5.0;25214.0;14.0;14.0;1801.0;0.0;0.0;14.0;14.0;14.0;14.0
DO125760000007E6C8541;9005.0;5.0;5.0;1801.0;0.0;0.0;5.0;5.0;5.0;5.0;25214.0;14.0;14.0;1801.0;0.0;0.0;14.0;14.0;14.0;14.0
DO1260C0000007E66C341;7720.0;5.0;5.0;1544.0;0.0;0.0;5.0;5.0;5.0;5.0;28468.27199999999;18.438;18.43799999999999;1544.0;7.105427357601002e-15;5.048709793414476e-29;18.438;18.438;18.438;18.438
DO126100000007E6A9D41;7720.0;5.0;5.0;1544.0;0.0;0.0;5.0;5.0;5.0;5.0;28564.0;18.5;18.5;1544.0;0.0;0.0;18.5;18.5;18.5;18.5
DO127690000007E6CE141;9005.0;5.0;5.0;1801.0;0.0;0.0;5.0;5.0;5.0;5.0;25214.0;14.0;14.0;1801.0;0.0;0.0;14.0;14.0;14.0;14.0
DO127B70000007E6FDD41;9005.0;5.0;5.0;1801.0;0.0;0.0;5.0;5.0;5.0;5.0;25214.0;14.0;14.0;1801.0;0.0;0.0;14.0;14.0;14.0;14.0
DO128C80000006A00DC41;27020.0;20.0;20.0;1351.0;0.0;0.0;20.0;20.0;20.0;20.0;24996.202;18.502;18.502000000000002;1351.0;3.552713678800501e-15;1.262177448353619e-29;18.502;18.502;18.502;18.502
DO128CE00000069FC1541;27020.0;20.0;20.0;1351.0;0.0;0.0;20.0;20.0;20.0;20.0;25392.045000000006;18.795;18.795000000000005;1351.0;3.552713678800501e-15;1.262177448353619e-29;18.795;18.795;18.795;18.795
