;set_temperature__sum_values;set_temperature__median;set_temperature__mean;set_temperature__length;set_temperature__standard_deviation;set_temperature__variance;set_temperature__root_mean_square;set_temperature__maximum;set_temperature__absolute_maximum;set_temperature__minimum;real_temperature__sum_values;real_temperature__median;real_temperature__mean;real_temperature__length;real_temperature__standard_deviation;real_temperature__variance;real_temperature__root_mean_square;real_temperature__maximum;real_temperature__absolute_maximum;real_temperature__minimum
DO100020000007E67A341;6020.0;20.0;20.0;301.0;0.0;0.0;20.0;20.0;20.0;20.0;5568.5;18.5;18.5;301.0;0.0;0.0;18.5;18.5;18.5;18.5
DO100B70000007E6FDD41;6020.0;20.0;20.0;301.0;0.0;0.0;20.0;20.0;20.0;20.0;5079.375;16.875;16.875;301.0;0.0;0.0;16.875;16.875;16.875;16.875
DO101100000007E6A9D41;10535.0;35.0;35.0;301.0;0.0;0.0;35.0;35.0;35.0;35.0;4722.088000000001;15.688;15.688000000000002;301.0;1.7763568394002505e-15;3.1554436208840472e-30;15.688000000000002;15.688;15.688;15.688
DO101690000007E6CE141;10535.0;35.0;35.0;301.0;0.0;0.0;35.0;35.0;35.0;35.0;4722.088000000001;15.688;15.688000000000002;301.0;1.7763568394002505e-15;3.1554436208840472e-30;15.688000000000002;15.688;15.688;15.688
DO1042800000069FECD41;4520.0;20.0;20.0;226.0;0.0;0.0;20.0;20.0;20.0;20.0;4808.827999999999;21.278;21.277999999999995;226.0;3.552713678800501e-15;1.262177448353619e-29;21.278000000000002;21.278;21.278;21.278
DO104C80000006A00DC41;4520.0;20.0;20.0;226.0;0.0;0.0;20.0;20.0;20.0;20.0;4595.031999999999;20.332;20.331999999999997;226.0;3.552713678800501e-15;1.262177448353619e-29;20.332;20.332;20.332;20.332
DO105100000006A058341;31535.0;35.0;35.0;901.0;0.0;0.0;35.0;35.0;35.0;35.0;21455.51299999999;23.813;23.81299999999999;901.0;7.105427357601002e-15;5.048709793414476e-29;23.812999999999995;23.813;23.813;23.813
DO105EB00000069FD8641;31535.0;35.0;35.0;901.0;0.0;0.0;35.0;35.0;35.0;35.0;21455.51299999999;23.813;23.81299999999999;901.0;7.105427357601002e-15;5.048709793414476e-29;23.812999999999995;23.813;23.813;23.813
DO1061D00000069FCED41;31535.0;35.0;35.0;901.0;0.0;0.0;35.0;35.0;35.0;35.0;18296.606999999996;20.307;20.306999999999995;901.0;3.552713678800501e-15;1.262177448353619e-29;20.307000000000002;20.307;20.307;20.307
DO106CE00000069FC1541;31535.0;35.0;35.0;901.0;0.0;0.0;35.0;35.0;35.0;35.0;19541.788999999997;21.689;21.688999999999997;901.0;3.552713678800501e-15;1.262177448353619e-29;21.688999999999997;21.689;21.689;21.689
DO108020000007E67A341;47280.0;20.0;20.0;2364.0;0.0;0.0;20.0;20.0;20.0;20.0;36051.0;15.25;15.25;2364.0;0.0;0.0;15.25;15.25;15.25;15.25
DO108B70000007E6FDD41;47280.0;20.0;20.0;2364.0;0.0;0.0;20.0;20.0;20.0;20.0;33096.0;14.0;14.0;2364.0;0.0;0.0;14.0;14.0;14.0;14.0
DO109100000007E6A9D41;570.0;5.0;5.0;114.0;0.0;0.0;5.0;5.0;5.0;5.0;1596.0;14.0;14.0;114.0;0.0;0.0;14.0;14.0;14.0;14.0
DO109690000007E6CE141;570.0;5.0;5.0;114.0;0.0;0.0;5.0;5.0;5.0;5.0;1596.0;14.0;14.0;114.0;0.0;0.0;14.0;14.0;14.0;14.0
DO125020000007E67A341;21035.0;35.0;35.0;601.0;0.0;0.0;35.0;35.0;35.0;35.0;8414.0;14.0;14.0;601.0;0.0;0.0;14.0;14.0;14.0;14.0
DO125760000007E6C8541;21035.0;35.0;35.0;601.0;0.0;0.0;35.0;35.0;35.0;35.0;8414.0;14.0;14.0;601.0;0.0;0.0;14.0;14.0;14.0;14.0
